title,company,location,salary,date,url
JLR Hooldusnõunik,Inchcape Motors Estonia OÜ,Tallinn,€3000–3800Premium,Published 14 days agoExpires: 13.09.2026,https://www.cv.ee/vacancy/1647208/inchcape-motors-estonia-ou/jlr-hooldusnounik
Psühholoog,Vanglad,Jõhvi,From€3000Premium,Published 15 days agoExpires: 24.09.2026,https://www.cv.ee/vacancy/1646398/vanglad/psuhholoog
Corporate Sales Manager,Meriton Hotels OÜ,Tallinn,N/A,Published about 3 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655285/meriton-hotels-ou/corporate-sales-manager
Electronics Design Engineer,ABB AS,Harjumaa,,Published about 4 hours agoExpires: 08.10.2026,https://www.cv.ee/vacancy/1655275/abb-as/electronics-design-engineer
Tarkvaratestija,SRINI OÜ,Tallinn/Hybrid,N/A,Published about 4 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655262/srini-ou/tarkvaratestija
Reliability Specialist,ABB AS,Harjumaa,,Published about 4 hours agoExpires: 07.10.2026,https://www.cv.ee/vacancy/1655257/abb-as/reliability-specialist
Kaupluse töötaja Haabersti Maximas,MAXIMA Eesti OÜ,Tallinn,€5.68–6.5/h,Published about 4 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655255/maxima-eesti-ou/kaupluse-tootaja-haabersti-maximas
Vahetuse vanem Kopli Maximas,MAXIMA Eesti OÜ,Tallinn,€6.4–7.7/h,Published about 5 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655228/maxima-eesti-ou/vahetuse-vanem-kopli-maximas
Монтажник,Manpower,Harjumaa,N/A,Published about 5 hours agoExpires: 30.09.2026,https://www.cv.ee/vacancy/1655227/manpower/montazhnik
Senior Sales Representative,Boehringer Ingelheim,Tartu/Hybrid,From€2800,Published about 5 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655223/boehringer-ingelheim/senior-sales-representative
Ärianalüütik,Tatoli AS,Tartu,N/A,Renewed about 5 hours agoExpires: 03.10.2026,https://www.cv.ee/vacancy/1651243/tatoli-as/arianaluutik
Montöör,Manpower,Jüri,N/A,Published about 5 hours agoExpires: 30.09.2026,https://www.cv.ee/vacancy/1655221/manpower/montoor
Eesti keele õpiabide koordinaator ja õpiabi õpetaja,Tallinna Kunstigümnaasium,Estonia,N/A,Published about 5 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655217/tallinna-kunstigumnaasium/eesti-keele-opiabide-koordinaator-ja-opiabi-opetaja
Pangatarkvara kasutajatoe spetsialist,Bigbank AS,Estonia,N/A,Published about 5 hours agoExpires: 27.09.2026,https://www.cv.ee/vacancy/1655213/bigbank-as/pangatarkvara-kasutajatoe-spetsialist
Senior Accountant / Vanemraamatupidaja,Metreon Limited OÜ,Tallinn/Remote,€3000–3500,Published about 6 hours agoExpires: 10.10.2026,https://www.cv.ee/vacancy/1655172/metreon-limited-ou/senior-accountant-vanemraamatupidaja
Intsidendihaldur,Kaitseressursside Amet,Tallinn,Up to€3650,Published about 6 hours agoExpires: 25.09.2026,https://www.cv.ee/vacancy/1655192/kaitseressursside-amet/intsidendihaldur
Database Administrator,Playtech Estonia OÜ,Tallinn/Hybrid,N/A,Renewed about 6 hours agoExpires: 27.09.2026,https://www.cv.ee/vacancy/1647339/playtech-estonia-ou/database-administrator
Database Administrator,Playtech Estonia OÜ,Tartu/Hybrid,N/A,Renewed about 6 hours agoExpires: 27.09.2026,https://www.cv.ee/vacancy/1647338/playtech-estonia-ou/database-administrator
Senior Database Administrator,Playtech Estonia OÜ,Tallinn/Hybrid,N/A,Renewed about 6 hours agoExpires: 27.09.2026,https://www.cv.ee/vacancy/1647337/playtech-estonia-ou/senior-database-administrator
Senior Database Administrator,Playtech Estonia OÜ,Tartu/Hybrid,N/A,Renewed about 6 hours agoExpires: 27.09.2026,https://www.cv.ee/vacancy/1647336/playtech-estonia-ou/senior-database-administrator
